"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
621043,"Correa, Carlos",346,0.9153439153439153,272,"74.809011561",0.5115606936416185,0.35294117647058826,0.2774566473988439,0.22794117647058823,0.1791907514450867,"7.270004493",2,-5.062808340522224,74,0.2138728323699422,148,0.4277456647398844
677595,"Mauricio, Ronny",187,0.9077669902912622,132,"74.741519358",0.49197860962566836,0.24242424242424243,0.1711229946524064,0.13636363636363635,0.0962566844919786,"7.702141081",0,-9.506592986098358,55,0.29411764705882354,62,0.3315508021390374
656448,"Garrett, Stone",150,0.9202453987730062,97,"74.710348133",0.45333333333333337,0.23711340206185566,0.15333333333333332,0.13402061855670103,0.08666666666666667,"7.936643557",1,-2.067377644912719,53,0.35333333333333333,36,0.24
592669,"Renfroe, Hunter",351,0.9023136246786633,265,"74.677507607",0.4871794871794872,0.24150943396226415,0.18233618233618235,0.09433962264150944,0.07122507122507123,"7.893200288",2,-10.383356492859395,86,0.245014245014245,120,0.3418803418803419
665742,"Soto, Juan",419,0.9010752688172043,355,"74.629425418",0.4821002386634845,0.38028169014084506,0.3221957040572792,0.23661971830985915,0.20047732696897375,"7.269730909",15,9.707355939936955,64,0.15274463007159905,192,0.45823389021479716
669127,"Langeliers, Shea",346,0.9081364829396326,237,"74.627049046",0.4797687861271676,0.3628691983122363,0.24855491329479767,0.189873417721519,0.13005780346820808,"7.236116609",1,-3.6453319596684355,109,0.315028901734104,117,0.33815028901734107
662139,"Varsho, Daulton",378,0.9174757281553398,290,"74.55266246",0.47089947089947093,0.2482758620689655,0.19047619047619047,0.11724137931034483,0.08994708994708994,"7.78820754",5,-11.23759905067329,88,0.2328042328042328,132,0.3492063492063492
642133,"Tellez, Rowdy",98,0.9245283018867925,75,"74.545603469",0.4795918367346938,0.3333333333333333,0.25510204081632654,0.21333333333333335,0.16326530612244897,"7.935559167",0,-3.65987826644772,23,0.23469387755102042,38,0.3877551020408163
682626,"Alvarez, Francisco",298,0.9030303030303031,206,"74.533528658",0.4832214765100671,0.3640776699029126,0.2516778523489933,0.1941747572815534,0.1342281879194631,"7.375122568",2,-14.051735548468574,92,0.3087248322147651,110,0.3691275167785235
656371,"Díaz, Isan",22,0.88,16,"74.512998636",0.5000000000000001,0.375,0.2727272727272727,0.25,0.18181818181818182,"7.447995",0,-2.669786799470987,6,0.2727272727272727,9,0.4090909090909091
545341,"Grichuk, Randal",420,0.9071274298056156,319,"74.486302024",0.49761904761904746,0.329153605015674,0.25,0.2006269592476489,0.1523809523809524,"7.605561133",9,-7.025822968056447,101,0.24047619047619048,174,0.4142857142857143
669221,"Murphy, Sean",267,0.9050847457627119,214,"74.449119176",0.47191011235955055,0.27102803738317754,0.21722846441947566,0.14485981308411214,0.11610486891385768,"7.770631873",10,-14.346355065332023,53,0.19850187265917604,98,0.36704119850187267
572191,"Taylor, Michael A.",233,0.89272030651341,171,"74.39684485",0.4549356223175966,0.22807017543859648,0.16738197424892703,0.1695906432748538,0.12446351931330472,"7.314839571",8,1.9818136710581848,62,0.26609442060085836,71,0.30472103004291845
660821,"Sánchez, Jesús",327,0.9083333333333333,229,"74.371133425",0.4709480122324159,0.28820960698689957,0.2018348623853211,0.17903930131004367,0.12538226299694188,"6.955629172",7,-3.9999237725638626,98,0.2996941896024465,115,0.3516819571865443
680118,"Blanco, Dairon",127,0.9071428571428571,92,"74.36851252",0.47244094488188987,0.31521739130434784,0.2283464566929134,0.17391304347826086,0.12598425196850394,"7.459840794",1,4.6850533716585705,35,0.2755905511811024,50,0.3937007874015748
669003,"Mitchell, Garrett",20,0.9090909090909091,11,"74.288044",0.3,0.2727272727272727,0.15,0.18181818181818182,0.1,"7.3484505",0,-1.2158924767303587,9,0.45,5,0.25
